time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
1/01/2018,1.8,-0.4,4,0,0,,8.7,0,1030.7,
2/01/2018,1.8,-0.4,3.9,0,0,,7.1,0,1028.5,
3/01/2018,2.3,1.2,3.4,0,,,6.8,0,1022.5,
4/01/2018,4.1,1.6,6.6,0,0,,6.1,0,1016.7,
5/01/2018,7.6,5.7,9.5,30.4,0,,10,0,1014.5,
6/01/2018,7.2,5.9,8.5,3,0,,13.9,154.8,1021.9,
7/01/2018,5.7,4.9,6.5,14,0,75,18.1,133.2,1017.3,
8/01/2018,6.4,5.7,7.1,16.5,0,71,9.9,0,1008.1,
9/01/2018,7,6,8,4.4,0,244,18.2,194.4,1003,
10/01/2018,6,4.7,7.3,0.2,0,,9.1,0,1013.6,
11/01/2018,4.8,3.8,5.8,15,0,95,11,0,1011.6,
12/01/2018,4.3,3.2,5.4,19.9,0,,8,0,1024.1,
13/01/2018,7.1,5.4,8.7,5.8,0,,9.5,0,1029.7,
14/01/2018,5,3.7,6.2,0,0,,5.5,0,1022.9,
15/01/2018,7.1,3.4,10.8,0,0,,8.5,108,1015.5,
16/01/2018,9.2,7.6,10.8,3.1,0,112,15.6,158.4,1019.4,
17/01/2018,9.1,7.3,10.9,9.8,0,,24.1,201.6,1010,
18/01/2018,8.1,6.3,9.8,2.4,0,131,22.1,180,1005.9,
19/01/2018,6.1,5.2,6.9,51.4,0,125,23.8,158.4,1009.2,
20/01/2018,5.4,4.2,6.6,18,0,125,22.5,172.8,1013.1,
21/01/2018,8.2,6.1,10.2,3.7,0,147,33.5,298.8,1007.3,
22/01/2018,7.3,5.1,9.5,3.1,0,149,16,147.6,1020.7,
23/01/2018,5.9,4.6,7.1,8.5,0,88,24.3,194.4,1012.8,
24/01/2018,6.5,5.5,7.4,19.9,0,104,19.5,140.4,1002.7,
25/01/2018,4.6,2.4,6.8,5.9,0,95,17.4,133.2,1005.8,
26/01/2018,5.5,3.2,7.8,7.6,0,124,16.3,118.8,1016.7,
27/01/2018,4.6,3.6,5.6,12.5,0,73,20.6,226.8,1016.1,
28/01/2018,6.2,4.4,8,18.1,0,77,17.4,126,1025,
29/01/2018,7.5,5,10,51,0,122,22.7,187.2,1013.1,
30/01/2018,6.5,4.3,8.7,0.4,0,179,15.7,147.6,1017.5,
31/01/2018,4,2.9,5.1,12.4,0,96,12.9,0,1021.8,
1/02/2018,4.6,3.4,5.8,7.9,0,66,13.5,0,1021.5,
2/02/2018,6.4,4.7,8,13.7,0,,10.6,0,1020.6,
3/02/2018,8.3,6.8,9.8,6.2,0,87,8.6,0,1023.3,
4/02/2018,8.2,6.9,9.5,14.7,0,119,12.8,118.8,1017.1,
5/02/2018,7.6,6.5,8.7,0.2,0,,11.6,154.8,1020.1,
6/02/2018,6.6,5.5,7.6,3.7,0,,6.5,0,1025.8,
7/02/2018,7.5,6.4,8.5,13.4,0,109,12.1,0,1026.2,
8/02/2018,7.1,3.9,10.3,1,0,,22.3,219.6,1019.3,
9/02/2018,4.3,2.9,5.6,0.2,0,101,8.6,133.2,1025.9,
10/02/2018,3,0.7,5.2,0,0,,8.1,0,1028.6,
11/02/2018,4.8,1.9,7.7,0,0,,12.3,126,1017.7,
12/02/2018,2.5,-0.3,5.3,0,0,,7.7,140.4,1027.4,
13/02/2018,3,0.1,5.9,1.2,0,95,12.7,126,1023.4,
14/02/2018,3.3,0.8,5.8,7.2,10,329,16.7,133.2,1018.1,
15/02/2018,2.8,-0.1,5.7,0,0,,9.5,0,1029.1,
16/02/2018,5.1,1.9,8.2,6.4,0,,12.9,126,1021.8,
17/02/2018,4.5,1.5,7.5,16.4,0,103,17.8,187.2,1004,
18/02/2018,0.7,-2.8,4.2,9.7,40,52,18,201.6,1010.8,
19/02/2018,-1.4,-4.5,1.8,0,0,,,0,,
20/02/2018,0.7,-2.3,3.7,0,0,,,0,,
21/02/2018,-1.5,-3,0,0.9,0,,,0,,
22/02/2018,-0.7,-4.5,3.1,0,0,,6.6,108,1028.5,
23/02/2018,-0.5,-1.4,0.5,5.8,0,78,21.3,133.2,1025.7,
24/02/2018,2.7,-0.5,5.9,10.1,0,61,14.7,133.2,1016.1,
25/02/2018,3.8,1.2,6.3,0.3,0,259,23.5,172.8,1008.1,
26/02/2018,2.6,-0.7,5.9,0,0,,8.1,108,1020,
27/02/2018,4.7,2.8,6.6,3.9,0,110,13.2,154.8,1016.9,
28/02/2018,4.5,3.3,5.7,7.8,0,83,22.9,165.6,1006.5,
1/03/2018,5.8,2.5,9.1,2.3,0,,14.6,172.8,999.7,
2/03/2018,3.3,1.4,5.2,5,0,81,12.3,0,1004.9,
3/03/2018,4.5,1.4,7.6,1.5,0,,9.3,0,1014.8,
4/03/2018,4.8,2.7,6.8,1.1,0,86,15.1,108,1020.9,
5/03/2018,4.7,2.2,7.2,0,0,,5.9,0,1027.6,
6/03/2018,5.6,2.3,8.8,0,0,17,9,0,1027.4,
7/03/2018,3.9,0.1,7.6,0,0,,8.5,0,1017.4,
